split,size_feature,bin,bin_midpoint,model,samples,mae,mae_ci_low,mae_ci_high
scaffold,n_bonds,"(19.0, 21.0]",20.0,SchNet,2341,0.012617676181119182,0.012156251145664244,0.013146786547949594
scaffold,n_bonds,"(19.0, 21.0]",20.0,Ensemble,2341,0.01237012275108302,0.011812940911510016,0.012991937007724616
scaffold,n_bonds,"(21.0, 26.0]",23.5,LightGBM,1734,0.05260801266739315,0.013344653130731595,0.11117951596424858
scaffold,n_bonds,"(21.0, 26.0]",23.5,SchNet,1734,0.050850928523644756,0.01189855590916955,0.10925477087629758
scaffold,n_bonds,"(21.0, 26.0]",23.5,Ensemble,1734,0.05096013333583723,0.011769952024001155,0.11943598320728455
scaffold,molecular_weight,"(44.052, 122.191]",83.1215,LightGBM,2199,0.017819218980838544,0.016902307239729738,0.01879798011409172
scaffold,molecular_weight,"(44.052, 122.191]",83.1215,SchNet,2199,0.014288891214188268,0.013687445659618007,0.014921265316734881
scaffold,molecular_weight,"(44.052, 122.191]",83.1215,Ensemble,2199,0.014767828687813735,0.014058839333034487,0.01553465512012847
scaffold,molecular_weight,"(122.191, 124.183]",123.18700000000001,LightGBM,2102,0.029364011564610284,0.01273419634614096,0.0704148496973234
scaffold,molecular_weight,"(122.191, 124.183]",123.18700000000001,SchNet,2102,0.028113609686013324,0.01163739074262607,0.07634346333301618
scaffold,molecular_weight,"(122.191, 124.183]",123.18700000000001,Ensemble,2102,0.02755269040629241,0.010974158357989677,0.060176030355143004
scaffold,molecular_weight,"(124.183, 126.179]",125.18100000000001,LightGBM,2432,0.026035434869733615,0.011885485983898929,0.05376722261557088
scaffold,molecular_weight,"(124.183, 126.179]",125.18100000000001,SchNet,2432,0.025080960797697373,0.011031681863384046,0.052880550477487666
scaffold,molecular_weight,"(124.183, 126.179]",125.18100000000001,Ensemble,2432,0.024428222868151852,0.01040123883298581,0.05208731138100096
scaffold,molecular_weight,"(126.179, 132.159]",129.16899999999998,LightGBM,1838,0.012404868180201147,0.011825044148783785,0.012996743583042756
scaffold,molecular_weight,"(126.179, 132.159]",129.16899999999998,SchNet,1838,0.010617866798150162,0.010208899211303047,0.01102337876421382
scaffold,molecular_weight,"(126.179, 132.159]",129.16899999999998,Ensemble,1838,0.01027699233802265,0.009832975693800084,0.010740793851939863
